10001	Will he live ?	s[s[(s/(s\\n))[((s/(s\\n))/n)   n] (s\\n)] punc]
10001	Will she live ?	s[s[(s/(s\\n))[((s/(s\\n))/n)   n] (s\\n)] punc]
10002	It 's just a game .	s[s[n   (s\\n)[((s\\n)/n)[((s\\n)/n)   ((s\\n)\\(s\\n))] n[(n/n)   n]]] punc]
10002	It 's only a game .	s[s[n   (s\\n)[((s\\n)/n)[((s\\n)/n)   ((s\\n)\\(s\\n))] n[(n/n)   n]]] punc]
10005	I have to apologize .	s[s[n   (s\\n)[((s\\n)/(s\\n))   (s\\n)[((s\\n)/(s\\n))   (s\\n)]]] punc]
10005	I must apologize .	s[s[n   (s\\n)[((s\\n)/(s\\n))   (s\\n)]] punc]
10007	The door is locked .	s[s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]] punc]
10007	The door 's locked .	s[s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]] punc]
10008	Something is coming .	s[s[n   (s\\n)[((s\\n)/(s\\n))   (s\\n)]] punc]
10008	Something 's coming .	s[s[n   (s\\n)[((s\\n)/(s\\n))   (s\\n)]] punc]
10008	There 's something coming .	s[s[n   (s\\n)[((s\\n)/n)   n[n   (n\\n)[(s\\n)]]]] punc]
10009	The water is hot .	s[s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]] punc]
10009	The water is warm .	s[s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]] punc]
10009	The water 's warm .	s[s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]] punc]
10020	Where is your God now ?	s[s[s[(s/(s/n))   (s/n)[((s/n)/n)   n[(n/n)   n]]] (s\\s)] punc]
10020	Where 's your God now ?	s[s[s[(s/s)   s[(s/n)   n[(n/n)   n]]] (s\\s)] punc]
10023	Continue without me .	(s\\n)[(s\\n)[(s\\n)   ((s\\n)\\(s\\n))[(((s\\n)\\(s\\n))/n)   n]] punc]
10023	Go on without me .	(s\\n)[(s\\n)[(s\\n)[(s\\n)   ((s\\n)\\(s\\n))] ((s\\n)\\(s\\n))[(((s\\n)\\(s\\n))/n)   n]] punc]
10026	Is something wrong with me ?	s[s[(s/(s\\n))[((s/(s\\n))/n)   n] (s\\n)[((s\\n)/p)   p[(p/n)   n]]] punc]
10027	Arabs harass me .	s[s[n[n] (s\\n)[((s\\n)/n)   n]] punc]
10027	Arabs persecute me .	s[s[n[n] (s\\n)[((s\\n)/n)   n]] punc]
10028	I 'm no longer afraid .	s[s[n   (s\\n)[((s\\n)/(s\\n))[((s\\n)/(s\\n))   ((s\\n)\\(s\\n))[(((s\\n)\\(s\\n))/((s\\n)\\(s\\n)))   ((s\\n)\\(s\\n))]] (s\\n)]] punc]
10028	I 'm not afraid anymore .	s[s[n   (s\\n)[(s\\n)[((s\\n)/(s\\n))[((s\\n)/(s\\n))   ((s\\n)\\(s\\n))] (s\\n)] ((s\\n)\\(s\\n))]] punc]
10030	We 're enjoying ourselves .	s[s[n   (s\\n)[((s\\n)/(s\\n))   (s\\n)[((s\\n)/n)   n]]] punc]
10030	We 're having fun .	s[s[n   (s\\n)[((s\\n)/(s\\n))   (s\\n)[((s\\n)/n)   n[n]]]] punc]
