1	Avoid this one
1	Slim Jim Beef & Cheese Twin Pack , Mild , 18 - count Box
1	RUINED - DISGUSTING
1	Not the same product that I have bought in stores .
1	Multiple species refused to eat this food
1	yummy if you like cough syrup and TAB mixed together
1	Horrible
1	Bait and switch from Amazon
1	1/4 of oil leaked out
1	Poisonous to Dogs
1	Problem with company
1	Strange , off - taste
1	Ditto - Bring Back the Old Recipe
1	DISAPPOINTED
1	CRISPY ? ? ? Not exactly
1	Quality is poor .
1	Not good at all ...
1	DO NOT BUY THIS WINE
1	shelf life too short once recieved
1	Something 's Changed with Canidae food
1	Pale and sugary
1	NOT AS ADVERTISED
1	Tastes like dirt
1	Starbucks lost a loyal customer
1	Makes Ande 's Mints look like gourmet chocolate
1	Bad food ... WAY overpriced
1	There 's a reason the Coffee People named this coffee Jet Fuel
1	too many onions ....
1	not ' naturally flavored with white truffle '
1	New Formula , 2 thumbs down
1	Jeremiahs pick coffee
1	DO NOT buy this from AMAZON !
1	$ 17.40 / gallon for WATER
1	Be Careful !
1	Barely any chips in the bag !
1	Great product , but arrived in horrible condition ...
1	Broken Bottom
1	Danger ! Danger ! ! !
1	damaged and dented cans
1	Just not that good .
1	Chaiwala
1	Do n't waste your time / money
1	YOU WILL LOVE THIS IF YOU ARE A TERMITE
1	Defective
1	DO NOT BUY
1	TOO EXPENSIVE ! !
1	Very cute , but made in China
1	Not your Spearmint of yester - year
1	Cats in my vicinity hate this stuff
1	It 's sugar free alright ... there is NO sweetness to it whatsoever !
1	This is a Refill kit ! ! ! Do not be fooled .
1	Red dye in cat food ruins carpeting - do n't buy if you have carpet
1	More vinegar than mustard .
1	Does n't compare to a restaurant
1	Taste inconsistent . QC issue
1	so gross !
1	Far too skinny
1	Worse than I expected
1	Where were these grown ? They wo n't tell you .
1	Too Much Like Wax
1	order was cancelled - still shipped
1	Gas Attack in a Can
1	Sent an opened bag , taped back together ! ! ! ! Unacceptable !
1	They do not work
1	new design = bad taste ? ? ?
1	Unhappy for the first time .
1	Box it came in was fine but bag was torn and rice was everywhere .
1	All the goodness of a mud puddle .
1	Skip this product
1	Simply Nasty
1	salt overload !
1	Horrible Packages
1	Flavorless Oil
1	New Ovaltine is Yukky !
1	Still searching for great halva
1	Not good for weight reduction
1	I knew that it could n't be just me .
1	Cats hate it .
1	Sourdough Starter - Live
1	Not Healthy
1	Old , Outdated Dog Treats ... Made my dogs puke !
1	It was only the RANCID smell .
1	Disgusting Taste
1	quantity warning
1	I wanted to like it ....
1	Very Fibrous , Filmsy Packaging
1	NOT a safe alternative for the gluten intolerant
1	Starchy Pumpkin
1	NOT FRESH !
1	All dough and No Rum !
1	Crystal Light Mocktail Margarita
1	Beware many reports of toxic effects from Navitas
1	tasteless
1	This is just awful
1	Not a substitute for Senseo pods .
1	SUGAR
1	Grease !
1	NOT what it claims
1	Not Sticks !
1	Does no one make a good decaf iced tea ?
1	not good at all
1	maddie
1	I love it but
1	Does n't deliver
1	Sharp edges
1	You must be joking
1	no matter what I do , it still taste bad
1	We do n't like them
1	DON'T BUY ! ONLY ONE SHAKER NOT THREE AS DESCRIBED ! RIP OFF ! !
1	Puppy does n't like it .
1	Horrible Never Buy Again
1	Sucralose
1	Mold all over ! Be careful
1	no good for oil - free popping
