4	Apple Ships Motion	s[n[n[(n/n)   n]] (s\\n)]
2	Scrimmage Gets Ugly	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	Texas goes wild	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
3	The Internet Is Calling	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	Watson holdout ends	s[n[n[(n/n)   n]] (s\\n)]
3	Euro Stocks Slip	s[n[n[(n/n)   n]] (s\\n)]
2	U.S. Rowers Advance	s[n[n[(n/n)   n]] (s\\n)]
3	Futures point lower	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
3	Fuel surcharges grow	s[n[n[(n/n)   n]] (s\\n)]
4	Broadband goes broader	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	American fouls out	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
3	Mortgage applications rise	s[n[n[(n/n)   n]] (s\\n)]
3	Michael Hill sparkles	s[n[n[(n/n)   n]] (s\\n)]
3	Stocks Open Flat	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	US gymnast shines	s[n[n[(n/n)   n]] (s\\n)]
2	NASCAR driver killed	s[n[n[(n/n)   n]] (s\\n)]
2	Mass. girls defend	s[n[n[(n/n)   n]] (s\\n)]
3	Google goes public	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	Najaf Standoff Continues	s[n[n[(n/n)   n]] (s\\n)]
3	Google Go Lucky	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	Offense Is Steamrolled	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	Mistakes Are Abundant	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	EIGHTH IS EASIEST	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	Sampanis confirmed positive	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
3	Overtime Rules Change	s[n[n[(n/n)   n]] (s\\n)]
1	We Are the People	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	Anaheim Claims Sweep	s[n[n[(n/n)   n]] (s\\n)]
3	Oil prices cool	s[n[n[(n/n)   n]] (s\\n)]
1	Guantnamo hearings begin	s[n[n[(n/n)   n]] (s\\n)]
2	Stanley Cup Vanishes	s[n[n[(n/n)   n]] (s\\n)]
2	The Baron was right	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	All hail the invincibles	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	Australian rowers reprimanded	s[n[n[(n/n)   n]] (s\\n)]
4	US tops the spam league	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
2	Fresh face lift	s[n[n[(n/n)   n]] (s\\n)]
4	BEA departures continue	s[n[n[(n/n)   n]] (s\\n)]
2	M. Jones Advances	s[n[n[(n/n)   n]] (s\\n)]
3	Hilton profit soars	s[n[n[(n/n)   n]] (s\\n)]
2	Gardner not saddened	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
4	Pirate hubs busted	s[n[n[(n/n)   n]] (s\\n)]
3	Mortgage Rates Increase	s[n[n[(n/n)   n]] (s\\n)]
2	Bryant Trial Begins	s[n[n[(n/n)   n]] (s\\n)]
2	Kobe Trial Begins	s[n[n[(n/n)   n]] (s\\n)]
3	US economy slows	s[n[n[(n/n)   n]] (s\\n)]
1	Guantanamo hearing postponed	s[n[n[(n/n)   n]] (s\\n)]
