2	an absolute masterpiece
2	Delicious cookie mix
2	More great playing
1	no technical information
2	Hanford Mills museum
1	New Wave 80s
2	The baseball benchmark
1	Gardening lawn book
2	Great control racquet
1	Bad skating technique
1	A complete waste
1	Fire Truck Puzzle
2	Beautiful Love Story
1	TOM ATKINSON REVIEW
2	An old friend
2	Very nice glider
1	formula type writing
2	Solid Addition to the Series
1	Muddled ending disapoints
2	Very nice book
1	Pretty pathetic people
2	a good smoother
2	simple quick fix
2	Excellent Resource Book
1	The Scarlett Letter
1	A Tedious Read
2	The scarlet Letter
2	My favorite classic
2	Scarlet Letter review
2	a must read
2	Great classic for the price
1	Missing Custom House
1	Horrific forced reading
1	Overrated Pretentious Trash
2	The Scarlet Letter
1	The okay book
2	a book value
2	Best one in Tomato Trilogy
2	Great warming dish
1	8 Crazy Nights
1	Eight Crazy Nights
2	Great Value for Less Money
2	Easy read for brain information
2	Brain based Learning
1	Pop psychology at its worst
1	a terrible descent
1	TERRIBLY BAD RECORDING
2	Very good read
2	Charlie Brown Christmas
2	Great Christmas Classic
2	the best table
2	U Body Pillow
2	A worthy replacement
2	Good replacement for old charger
1	High Pitched Noise
2	good cheap alternative
1	Faulty Product - Horrible Support
1	JUNK JUNK JUNK
1	Poorly made product
1	Faulty Power Cord
2	MaC POWER Adapter
1	Macally Power cord
1	really low quality
2	Power Adapter for Apple G4
2	A Must Read
2	Greek Time Travel
2	A 1970s gem
1	Really horrible book
1	a real pain
1	Not a fan
1	A Military History
2	Orange Mound Representer
2	Very good album
2	Urban Primitive Spiritualism
2	Amazing Amazon Doctor
2	cold dog soup
2	Perfect gift for the family
2	A timeless masterpiece
2	Essential Dolly Parton
2	Perfect background music
2	Very fun book
2	Great kids story
2	Bubble Gum Crisis
2	my game reviews
2	Excellent Introduction to Philosophy Text
1	Cheaply made product
1	Flimsy Bag Holder
1	A Rookie Game
1	Elementary Differential Equations
2	real life saver
1	Wrong Country for the product
2	An adult sim
2	a great find
1	A verbose informercial
1	very poor construction
2	The big picture
2	Salmon Oil - Excellent Product
2	Amazing change in his coat
2	American Pharmacy in the 1800s
2	very good product
2	Carbon Monoxide Alarm
2	old time magic
1	Old School Rocket
2	Great Video on Holistic Medicine
2	Good showing of Tibetian medicine
2	Another Excellent Achievment
